date_utc,league,home,away,market,pick,price_at_publish,model_probability,result,grade,snapshot_frozen_at
2026-06-01T17:00:00+00:00,League Cup,Wadi Degla,Enppi,Asian Handicap,Home +0.25,1.5,0.6997,,LOST,
2026-06-01T17:30:00+00:00,Friendlies,Türkiye,FYR Macedonia,Team Total Goals,Under 2.5,1.67,0.8963,,LOST,
2026-06-01T17:30:00+00:00,Liga I,FC Voluntari,AFC Hermannstadt,Asian Handicap,Home +0,1.91,0.5419,,WON,
2026-06-01T18:00:00+00:00,Primera División - Apertura,Boston River,Liverpool Montevideo,Asian Handicap,Home +0.25,1.9,0.8243,,LOST,
2026-06-01T22:00:00+00:00,Liga Pro,Leones del Norte,Macara,Asian Handicap,Home +0,2.15,0.8686,,WON,
2026-06-01T22:00:00+00:00,Serie B,Ponte Preta,Botafogo SP,Asian Handicap,Home +0.25,1.6,0.7130,,WON,
2026-06-01T23:00:00+00:00,Friendlies,Colombia,Costa Rica,Team Total Goals,Over 0.5,1.85,0.7878,,WON,
2026-06-01T23:00:00+00:00,Serie C,Barra,Brusque,Team Total Goals,Over 0.5,1.67,0.8274,,WON,
2026-06-02T00:30:00+00:00,Division di Honor,Estrella,Jong Aruba,Team Total Goals,Under 2.5,2.26,0.9534,,WON,
2026-06-02T00:30:00+00:00,Liga Pro,Tecnico Universitario,Barcelona SC,Asian Handicap,Home +0.25,1.75,0.6695,,WON,
2026-06-02T01:00:00+00:00,Friendlies,Canada,Uzbekistan,Team Total Goals,Over 0.5,1.62,0.8287,,LOST,
2026-06-02T16:00:00+00:00,Friendlies,Croatia,Belgium,Asian Handicap,Home +0.25,1.62,0.6849,,LOST,
2026-06-02T16:30:00+00:00,Première Division,Afrique Football Élite,Diarra,Asian Handicap,Home +0.25,1.74,0.9920,,LOST,
2026-06-02T17:00:00+00:00,Ettan - Södra,Rosengård,Angelholms FF,Team Total Goals,Over 0.5,1.5,0.8447,,WON,
2026-06-02T17:00:00+00:00,Friendlies,Georgia,Romania,Asian Handicap,Home +0,1.55,0.6031,,WON,
2026-06-02T17:00:00+00:00,Friendlies,Morocco,Madagascar,Team Total Goals,Over 0.5,3.2,0.7801,,LOST,
2026-06-03T09:30:00+00:00,Capital Territory NPL,Belconnen United,Tuggeranong United,Over/Under Goals,Over 2.5,1.44,,,WON,
2026-06-03T11:30:00+00:00,Friendlies,Philippines,Guam,Team Total Goals,Over 0.5,3.45,0.8393,,WON,
2026-06-03T13:00:00+00:00,Premier Soccer League,Milford FC,Magesi,Asian Handicap,Home +0.25,1.8,0.6771,,WON,
2026-06-03T15:30:00+00:00,First League,Grbalj,Bokelj,Asian Handicap,Home +0.25,1.7,0.6275,,LOST,
2026-06-03T15:30:00+00:00,Friendlies,Croatia U21,Qatar U20,Asian Handicap,Away -1.25,1.78,0.2372,,LOST,
2026-06-03T17:00:00+00:00,Division 2 - Norrland,IFK Umeå,Täfteå,Over/Under Goals,Under 3.5,1.77,0.7212,,LOST,
2026-06-03T17:00:00+00:00,Ettan - Södra,Olympic,Lund,Asian Handicap,Home +0.25,1.7,0.5098,,LOST,
2026-06-03T17:00:00+00:00,Friendlies,Gibraltar,British Virgin Islands,Over/Under Goals,Under 3.5,1.87,0.9061,,LOST,
2026-06-03T17:30:00+00:00,Ettan - Norra,Vasalund,Järfälla,Asian Handicap,Away -1.25,1.58,0.2408,,LOST,
2026-06-03T18:00:00+00:00,Friendlies,Albania,Israel,Asian Handicap,Home +0.25,1.5,0.7838,,LOST,
2026-06-03T18:00:00+00:00,Friendlies,Denmark,Congo DR,Asian Handicap,Home +0.5,5.9,0.7167,,WON,
2026-06-03T18:00:00+00:00,Tweede Divisie,ADO '20,Ijsselmeervogels,Asian Handicap,Home +0,2.08,0.6208,,LOST,
2026-06-03T18:30:00+00:00,Friendlies,Portugal U21,Northern Ireland U21,Over/Under Goals,Under 3.5,1.7,0.8205,,LOST,
2026-06-03T18:45:00+00:00,Friendlies,Netherlands,Algeria,Team Total Goals,Over 0.5,1.7,0.8897,,WON,
2026-06-03T23:00:00+00:00,Copa Sul-Sudeste,Avai,Chapecoense-sc,Over/Under Goals,Over 1.5,1.53,0.7888,,WON,
2026-06-03T23:00:00+00:00,USL League Two,Charlotte Eagles,Tobacco Road,Over/Under Goals,Under 3.5,1.76,0.9930,,LOST,
2026-06-03T23:00:00+00:00,USL League Two,Christos,Charlottesville Blues,Asian Handicap,Home +0,2.6,0.5168,,WON,
2026-06-03T23:00:00+00:00,USL League Two,Wake,SC United Bantams,Asian Handicap,Home +0.25,4.0,0.7624,,LOST,
2026-06-04T00:45:00+00:00,Friendlies,Panama,Dominican Republic,Team Total Goals,Under 2.5,1.94,0.8731,,LOST,
2026-06-04T01:00:00+00:00,Friendlies,South Korea,El Salvador,Team Total Goals,Under 2.5,1.6,0.9398,,WON,
2026-06-04T02:00:00+00:00,USL League Two,Tacoma Stars,Ballard,Team Total Goals,Over 0.5,1.73,0.8864,,WON,
2026-06-04T16:30:00+00:00,Première Division,Bakaridjan,Stade Malien Bamako,Asian Handicap,Home +0.25,2.24,0.8186,,LOST,
